score: 1432.0, reward: 0.0, states: 1432, train_cnt: 0, mutation_cnt: 0
score: 2449.9444444444443, reward: 3.6388888888888844, states: 2268, train_cnt: 0, mutation_cnt: 0
score: 1420.0, reward: 0.0, states: 1420, train_cnt: 0, mutation_cnt: 0
score: 997.2777777777778, reward: 0.8055555555555555, states: 957, train_cnt: 0, mutation_cnt: 0
score: 1325.3078703703702, reward: 5.126157407407406, states: 1069, train_cnt: 0, mutation_cnt: 0
score: 1852.974537037037, reward: 1.959490740740739, states: 1755, train_cnt: 0, mutation_cnt: 0
score: 1837.638888888889, reward: 0.1527777777777777, states: 1830, train_cnt: 0, mutation_cnt: 0
score: 1158.0, reward: 0.0, states: 1158, train_cnt: 0, mutation_cnt: 0
score: 1261.0, reward: 0.0, states: 1261, train_cnt: 0, mutation_cnt: 0
score: 2504.4421296296296, reward: 19.74884259259259, states: 1517, train_cnt: 1, mutation_cnt: 0
score: 1826.724537037037, reward: 9.834490740740737, states: 1335, train_cnt: 1, mutation_cnt: 0
score: 4308.472222222222, reward: 10.569444444444436, states: 3780, train_cnt: 1, mutation_cnt: 0
score: 2132.747685185185, reward: 15.734953703703704, states: 1346, train_cnt: 1, mutation_cnt: 0
score: 1885.224537037037, reward: 11.58449074074074, states: 1306, train_cnt: 1, mutation_cnt: 0
score: 2575.2583912037035, reward: 8.445167824074073, states: 2153, train_cnt: 1, mutation_cnt: 0
score: 2140.1467013888887, reward: 8.562934027777775, states: 1712, train_cnt: 1, mutation_cnt: 0
score: 2538.6990740740744, reward: 18.293981481481485, states: 1624, train_cnt: 1, mutation_cnt: 0
score: 2345.4444444444443, reward: 18.38888888888889, states: 1426, train_cnt: 1, mutation_cnt: 1
score: 2661.946759259259, reward: 12.778935185185182, states: 2023, train_cnt: 1, mutation_cnt: 0
score: 1541.6689814814815, reward: 5.473379629629629, states: 1268, train_cnt: 1, mutation_cnt: 0
score: 2494.0, reward: 20.0, states: 1494, train_cnt: 2, mutation_cnt: 0
score: 2474.7685185185182, reward: 18.99537037037037, states: 1525, train_cnt: 2, mutation_cnt: 0
score: 4298.755497685184, reward: 11.895109953703695, states: 3704, train_cnt: 2, mutation_cnt: 0
score: 2418.900462962963, reward: 18.97800925925926, states: 1470, train_cnt: 2, mutation_cnt: 0
score: 2442.0, reward: 20.0, states: 1442, train_cnt: 2, mutation_cnt: 0
score: 2671.556712962963, reward: 8.931134259259258, states: 2225, train_cnt: 2, mutation_cnt: 0
score: 2333.578703703704, reward: 17.011574074074076, states: 1483, train_cnt: 2, mutation_cnt: 0
score: 2326.0486111111113, reward: 18.440972222222225, states: 1404, train_cnt: 2, mutation_cnt: 1
score: 2375.474537037037, reward: 18.70949074074074, states: 1440, train_cnt: 2, mutation_cnt: 0
score: 1732.8379629629628, reward: 6.696759259259256, states: 1398, train_cnt: 2, mutation_cnt: 0
score: 2509.0, reward: 20.0, states: 1509, train_cnt: 3, mutation_cnt: 0
score: 2387.1041666666665, reward: 18.302083333333332, states: 1472, train_cnt: 3, mutation_cnt: 1
score: 2425.4375, reward: 19.46875, states: 1452, train_cnt: 3, mutation_cnt: 0
score: 2502.428240740741, reward: 18.908564814814813, states: 1557, train_cnt: 3, mutation_cnt: 0
score: 2456.884259259259, reward: 19.497685185185187, states: 1482, train_cnt: 3, mutation_cnt: 0
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 3, mutation_cnt: 0
score: 2314.7667824074074, reward: 17.01533564814815, states: 1464, train_cnt: 3, mutation_cnt: 0
score: 2390.6828703703704, reward: 18.31365740740741, states: 1475, train_cnt: 3, mutation_cnt: 0
score: 2365.8796296296296, reward: 19.21759259259259, states: 1405, train_cnt: 3, mutation_cnt: 1
score: 2427.0, reward: 20.0, states: 1427, train_cnt: 3, mutation_cnt: 0
score: 2264.5324074074074, reward: 14.710648148148147, states: 1529, train_cnt: 3, mutation_cnt: 0
score: 2510.0, reward: 20.0, states: 1510, train_cnt: 4, mutation_cnt: 1
score: 2445.0, reward: 20.0, states: 1445, train_cnt: 4, mutation_cnt: 0
score: 2455.300925925926, reward: 19.20601851851852, states: 1495, train_cnt: 4, mutation_cnt: 0
score: 2446.4421296296296, reward: 19.74884259259259, states: 1459, train_cnt: 4, mutation_cnt: 0
