score: 3110.5833333333335, reward: 0.9916666666666654, states: 3061, train_cnt: 0, mutation_cnt: 6, seq_num: 155
score: 4494.573784722223, reward: 3.551475694444445, states: 4317, train_cnt: 0, mutation_cnt: 3, seq_num: 158
score: 8798.447916666666, reward: 3.9489583333333313, states: 8601, train_cnt: 0, mutation_cnt: 5, seq_num: 144
score: 3014.1041666666665, reward: 0.602083333333334, states: 2984, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 5989.833333333333, reward: 0.7166666666666658, states: 5954, train_cnt: 0, mutation_cnt: 3, seq_num: 159
score: 3793.770833333333, reward: 5.135416666666665, states: 3537, train_cnt: 0, mutation_cnt: 6, seq_num: 0
score: 8498.208333333334, reward: 3.904166666666665, states: 8303, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 3138.9131944444443, reward: 0.7982638888888889, states: 3099, train_cnt: 0, mutation_cnt: 4, seq_num: 0
score: 8006.756076388889, reward: 3.555121527777773, states: 7829, train_cnt: 0, mutation_cnt: 6, seq_num: 157
score: 3648.0, reward: 0.0, states: 3648, train_cnt: 0, mutation_cnt: 4, seq_num: 157
score: 3783.5555555555557, reward: 3.6111111111111116, states: 3603, train_cnt: 0, mutation_cnt: 2, seq_num: 29
score: 3861.1319444444443, reward: 4.9826388888888875, states: 3612, train_cnt: 0, mutation_cnt: 5, seq_num: 138
score: 2921.333333333333, reward: 1.6666666666666639, states: 2838, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 2238.0, reward: 0.0, states: 2238, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 4176.0, reward: 0.0, states: 4176, train_cnt: 0, mutation_cnt: 6, seq_num: 0
score: 4501.0, reward: 0.0, states: 4501, train_cnt: 0, mutation_cnt: 7, seq_num: 150
score: 2905.0, reward: 0.0, states: 2905, train_cnt: 0, mutation_cnt: 3, seq_num: 0
score: 3793.770833333333, reward: 5.135416666666665, states: 3537, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 3793.770833333333, reward: 5.135416666666665, states: 3537, train_cnt: 0, mutation_cnt: 5, seq_num: 0
score: 3290.9700520833335, reward: 0.8194010416666669, states: 3250, train_cnt: 0, mutation_cnt: 6, seq_num: 155
score: 4353.8125, reward: 3.356250000000002, states: 4186, train_cnt: 0, mutation_cnt: 3, seq_num: 158
score: 6654.142361111111, reward: 4.162847222222218, states: 6446, train_cnt: 0, mutation_cnt: 6, seq_num: 159
score: 4392.520833333333, reward: 4.510416666666662, states: 4167, train_cnt: 0, mutation_cnt: 6, seq_num: 0
score: 5164.982638888889, reward: 4.699652777777778, states: 4930, train_cnt: 0, mutation_cnt: 6, seq_num: 134
score: 7760.166666666666, reward: 3.68333333333333, states: 7576, train_cnt: 0, mutation_cnt: 6, seq_num: 0
