score: 6049.361111111111, reward: 3.847222222222219, states: 5857, train_cnt: 1, mutation_cnt: 2, seq_num: 0
score: 2509.7986111111113, reward: 0.8159722222222222, states: 2469, train_cnt: 3, mutation_cnt: 2, seq_num: 46
score: 2413.8055555555557, reward: 0.7361111111111112, states: 2377, train_cnt: 1, mutation_cnt: 3, seq_num: 47
score: 1509.5416666666667, reward: 1.770833333333333, states: 1421, train_cnt: 1, mutation_cnt: 3, seq_num: 0
score: 1009.0, reward: 0.0, states: 1009, train_cnt: 1, mutation_cnt: 1, seq_num: 46
score: 1371.4768518518517, reward: 5.849537037037037, states: 1079, train_cnt: 2, mutation_cnt: 2, seq_num: 0
score: 1768.6805555555554, reward: 7.67361111111111, states: 1385, train_cnt: 2, mutation_cnt: 1, seq_num: 46
score: 1674.8888888888887, reward: 6.277777777777775, states: 1361, train_cnt: 2, mutation_cnt: 3, seq_num: 32
score: 1616.0347222222222, reward: 5.6006944444444455, states: 1336, train_cnt: 2, mutation_cnt: 1, seq_num: 33
score: 1325.625, reward: 1.8125000000000002, states: 1235, train_cnt: 2, mutation_cnt: 1, seq_num: 22
score: 2453.0, reward: 20.0, states: 1453, train_cnt: 4, mutation_cnt: 1, seq_num: 36
score: 1839.238425925926, reward: 6.424768518518519, states: 1518, train_cnt: 3, mutation_cnt: 2, seq_num: 47
score: 2406.0, reward: 20.0, states: 1406, train_cnt: 4, mutation_cnt: 1, seq_num: 31
score: 2481.896122685185, reward: 19.277922453703706, states: 1518, train_cnt: 4, mutation_cnt: 1, seq_num: 34
score: 2422.0, reward: 20.0, states: 1422, train_cnt: 4, mutation_cnt: 1, seq_num: 9
score: 2106.75, reward: 1.8749999999999973, states: 2013, train_cnt: 1, mutation_cnt: 1, seq_num: 45
score: 1235.3194444444446, reward: 1.3263888888888897, states: 1169, train_cnt: 1, mutation_cnt: 1, seq_num: 0
score: 1783.023148148148, reward: 4.900462962962961, states: 1538, train_cnt: 1, mutation_cnt: 2, seq_num: 32
score: 1313.3194444444446, reward: 1.8263888888888895, states: 1222, train_cnt: 3, mutation_cnt: 3, seq_num: 0
score: 1196.861111111111, reward: 0.09722222222222221, states: 1192, train_cnt: 1, mutation_cnt: 2, seq_num: 44
score: 1755.0376157407409, reward: 1.4007523148148155, states: 1685, train_cnt: 1, mutation_cnt: 2, seq_num: 47
score: 2776.715277777778, reward: 16.774305555555554, states: 1938, train_cnt: 3, mutation_cnt: 2, seq_num: 44
